ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developeing Regions,HDI Rank (2021),"Maternal Mortality Ratio (deaths per 100,000 live births) (1990)","Maternal Mortality Ratio (deaths per 100,000 live births) (1991)","Maternal Mortality Ratio (deaths per 100,000 live births) (1992)","Maternal Mortality Ratio (deaths per 100,000 live births) (1993)","Maternal Mortality Ratio (deaths per 100,000 live births) (1994)","Maternal Mortality Ratio (deaths per 100,000 live births) (1995)","Maternal Mortality Ratio (deaths per 100,000 live births) (1996)","Maternal Mortality Ratio (deaths per 100,000 live births) (1997)","Maternal Mortality Ratio (deaths per 100,000 live births) (1998)","Maternal Mortality Ratio (deaths per 100,000 live births) (1999)","Maternal Mortality Ratio (deaths per 100,000 live births) (2000)","Maternal Mortality Ratio (deaths per 100,000 live births) (2001)","Maternal Mortality Ratio (deaths per 100,000 live births) (2002)","Maternal Mortality Ratio (deaths per 100,000 live births) (2003)","Maternal Mortality Ratio (deaths per 100,000 live births) (2004)","Maternal Mortality Ratio (deaths per 100,000 live births) (2005)","Maternal Mortality Ratio (deaths per 100,000 live births) (2006)","Maternal Mortality Ratio (deaths per 100,000 live births) (2007)","Maternal Mortality Ratio (deaths per 100,000 live births) (2008)","Maternal Mortality Ratio (deaths per 100,000 live births) (2009)","Maternal Mortality Ratio (deaths per 100,000 live births) (2010)","Maternal Mortality Ratio (deaths per 100,000 live births) (2011)","Maternal Mortality Ratio (deaths per 100,000 live births) (2012)","Maternal Mortality Ratio (deaths per 100,000 live births) (2013)","Maternal Mortality Ratio (deaths per 100,000 live births) (2014)","Maternal Mortality Ratio (deaths per 100,000 live births) (2015)","Maternal Mortality Ratio (deaths per 100,000 live births) (2016)","Maternal Mortality Ratio (deaths per 100,000 live births) (2017)","Maternal Mortality Ratio (deaths per 100,000 live births) (2018)","Maternal Mortality Ratio (deaths per 100,000 live births) (2019)","Maternal Mortality Ratio (deaths per 100,000 live births) (2020)","Maternal Mortality Ratio (deaths per 100,000 live births) (2021)"
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180,1500,1530,1520,1480,1540,1490,1440,1470,1410,1470,1450,1390,1300,1240,1180,1140,1120,1090,1030,993,954,905,858,810,786,701,673,638,638,638,638,638
AGO,Angola,Africa,Southern Hemisphere,Medium,SSA,148,1150,1100,1130,1110,1130,1060,1020,985,953,909,827,766,690,628,574,519,473,431,395,359,326,300,281,269,258,251,246,241,241,241,241,241
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67,40,47,49,47,39,38,32,30,27,25,23,23,21,21,18,22,18,19,20,20,21,22,17,16,16,15,16,15,15,15,15,15
AND,Andorra,Europe,Northern Hemisphere,Very High,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,26,13,12,11,10,10,9,8,8,7,7,6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47,84,82,80,76,75,72,71,71,69,70,66,67,65,65,61,59,57,56,53,56,51,48,47,44,42,41,40,39,39,39,39,39
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85,52,47,56,60,54,54,55,50,50,43,43,42,39,38,36,35,36,32,36,32,32,30,30,26,27,28,26,26,26,26,26,26
ATG,Antigua and Barbuda,America,Northern Hemisphere,High,LAC,71,54,54,55,52,52,51,51,52,50,49,44,44,43,44,41,40,46,48,50,45,44,43,44,43,42,43,43,42,42,42,42,42
AUS,Australia,Oceania,Southern Hemisphere,Very High,,5,8,9,8,8,8,8,8,8,7,7,7,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6
AUT,Austria,Europe,Northern Hemisphere,Very High,,25,8,8,8,8,8,7,7,6,6,6,6,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
AZE,Azerbaijan,Asia,Northern Hemisphere,High,ECA,91,37,39,46,50,57,57,55,54,52,49,47,44,43,44,39,42,35,34,32,32,31,30,29,28,28,27,26,26,26,26,26,26
BDI,Burundi,Africa,Southern Hemisphere,Low,SSA,187,1290,1340,1360,1360,1340,1280,1220,1130,1090,1030,1010,956,925,890,844,814,785,756,733,698,665,635,608,591,576,568,558,548,548,548,548,548
BEL,Belgium,Europe,Northern Hemisphere,Very High,,13,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166,572,564,557,552,548,544,539,533,530,525,520,516,511,510,505,500,493,486,480,471,464,458,450,441,432,421,408,397,397,397,397,397
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184,702,673,651,633,617,598,581,564,546,531,516,501,486,471,454,437,422,410,401,393,385,377,369,362,353,343,331,320,320,320,320,320
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,129,595,589,552,534,514,499,482,467,457,445,434,423,410,395,372,343,315,297,280,269,258,248,238,227,214,200,186,173,173,173,173,173
BGR,Bulgaria,Europe,Northern Hemisphere,High,,68,25,24,24,22,24,23,22,24,21,20,19,18,17,16,16,15,14,13,13,12,12,12,11,10,11,10,10,10,10,10,10,10
BHR,Bahrain,Asia,Northern Hemisphere,Very High,AS,35,21,29,19,21,18,19,22,22,21,20,27,19,25,21,21,19,24,16,18,19,18,15,18,17,15,15,15,14,14,14,14,14
BHS,Bahamas,America,Northern Hemisphere,Very High,LAC,55,68,69,71,72,72,72,72,72,73,74,75,76,78,79,78,77,78,77,77,78,78,78,78,78,77,74,72,70,70,70,70,70
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,74,27,29,30,29,27,25,22,20,19,18,17,16,14,14,14,13,13,13,11,11,11,10,10,10,10,10,10,10,10,10,10,10
BLR,Belarus,Europe,Northern Hemisphere,Very High,ECA,60,33,32,32,34,33,33,32,29,27,25,22,19,18,15,13,11,9,7,6,6,5,5,4,3,3,3,3,2,2,2,2,2
BLZ,Belize,America,Northern Hemisphere,Medium,LAC,123,77,94,108,109,106,102,97,93,92,89,89,88,82,80,75,70,65,61,59,57,54,52,50,48,46,43,39,36,36,36,36,36
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118,473,455,439,422,406,393,379,367,356,344,331,320,309,297,283,271,258,246,234,222,212,202,192,184,175,168,161,155,155,155,155,155
BRA,Brazil,America,Southern Hemisphere,High,LAC,87,115,112,111,112,109,103,97,89,83,75,69,68,69,70,71,71,72,71,70,69,65,61,60,61,62,63,62,60,60,60,60,60
BRB,Barbados,America,Northern Hemisphere,High,LAC,70,76,74,72,70,67,64,61,58,55,53,50,48,47,45,43,42,41,40,39,38,36,35,34,32,31,31,30,27,27,27,27,27
BRN,Brunei,Asia,Northern Hemisphere,Very High,EAP,51,33,30,29,30,31,31,30,29,28,28,28,28,29,30,30,29,28,27,27,27,28,28,29,28,29,30,31,31,31,31,31,31
BTN,Bhutan,Asia,Northern Hemisphere,Medium,SA,127,809,752,698,647,606,557,520,485,456,427,423,384,365,348,332,310,291,275,264,255,247,239,231,223,214,203,193,183,183,183,183,183
BWA,Botswana,Africa,Southern Hemisphere,Medium,SSA,117,250,227,216,212,213,218,224,233,243,253,262,271,278,278,264,239,221,209,203,189,179,176,170,164,160,156,151,144,144,144,144,144
CAF,Central African Republic,Africa,Northern Hemisphere,Low,SSA,188,1230,1280,1320,1320,1330,1320,1310,1310,1310,1300,1280,1290,1280,1250,1230,1200,1170,1130,1090,1050,1000,981,963,1030,961,912,890,829,829,829,829,829
CAN,Canada,America,Northern Hemisphere,Very High,,15,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,11,11,11,12,12,11,11,11,11,11,11,10,10,10,10,10,10
CHE,Switzerland,Europe,Northern Hemisphere,Very High,,1,9,9,8,9,9,9,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5
CHL,Chile,America,Southern Hemisphere,Very High,LAC,42,63,57,52,50,47,45,42,39,36,35,31,32,28,27,27,25,25,23,21,21,20,18,17,16,15,14,13,13,13,13,13,13
CHN,China,Asia,Northern Hemisphere,High,EAP,79,95,90,85,81,77,74,71,68,66,62,59,55,51,48,46,44,42,40,40,37,36,34,33,32,31,30,29,29,29,29,29,29
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,SSA,159,704,711,718,723,724,721,713,709,706,705,704,706,713,711,709,704,699,698,694,700,701,703,702,691,676,658,636,617,617,617,617,617
CMR,Cameroon,Africa,Northern Hemisphere,Medium,SSA,151,780,822,860,887,911,930,942,950,946,923,886,844,803,771,732,692,658,635,618,606,597,589,580,567,564,554,538,529,529,529,529,529
COD,The Democratic Republic of the Congo,Africa,Northern Hemisphere,Low,SSA,179,853,848,843,847,833,830,885,829,806,788,760,740,734,699,661,627,598,578,565,555,542,532,524,514,500,490,481,473,473,473,473,473
COG,Congo,Africa,Southern Hemisphere,Medium,SSA,153,662,678,691,702,700,702,705,731,736,764,739,752,769,757,724,677,623,580,552,526,506,488,468,449,433,416,397,378,378,378,378,378
COL,Colombia,America,Northern Hemisphere,High,LAC,88,121,123,120,116,110,105,102,96,96,96,94,93,92,88,85,83,82,83,84,87,85,84,85,85,85,85,84,83,83,83,83,83
COM,Comoros,Africa,Southern Hemisphere,Medium,SSA,156,592,570,548,528,511,496,483,486,468,452,444,437,429,423,414,404,393,382,370,356,341,326,313,302,293,285,279,273,273,273,273,273
CPV,Cabo Verde,Africa,Northern Hemisphere,Medium,SSA,128,323,303,282,258,229,201,178,158,143,130,118,109,101,96,91,86,82,78,75,72,70,67,65,63,62,61,59,58,58,58,58,58
CRI,Costa Rica,America,Northern Hemisphere,Very High,LAC,58,47,50,46,44,46,47,47,44,41,42,40,37,38,37,36,33,35,29,29,29,32,30,29,29,29,28,28,27,27,27,27,27
CUB,Cuba,America,Northern Hemisphere,High,LAC,83,63,63,64,62,61,59,56,52,52,48,46,44,41,41,40,41,38,38,40,40,41,38,39,40,39,38,37,36,36,36,36,36
CYP,Cyprus,Asia,Northern Hemisphere,Very High,,29,12,12,14,12,15,15,12,13,13,13,14,9,10,9,9,12,9,8,9,8,8,8,7,6,8,7,6,6,6,6,6,6
CZE,Czechia,Europe,Northern Hemisphere,Very High,,32,13,13,12,11,10,10,9,8,7,7,7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3
DEU,Germany,Europe,Northern Hemisphere,Very High,,9,10,9,9,9,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,7,7,7,7,7
DJI,Djibouti,Africa,Northern Hemisphere,Low,AS,171,603,613,631,587,599,569,553,544,535,526,507,490,470,449,426,393,361,335,320,299,283,272,262,256,256,247,246,248,248,248,248,248
DMA,Dominica,America,Northern Hemisphere,High,LAC,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,Europe,Northern Hemisphere,Very High,,6,10,10,10,10,10,10,9,9,8,9,8,8,8,7,7,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4
DOM,Dominican Republic,America,Northern Hemisphere,High,LAC,80,161,153,146,138,129,121,112,104,97,88,80,75,75,76,81,83,86,90,92,95,96,95,94,94,94,94,94,95,95,95,95,95
DZA,Algeria,Africa,Northern Hemisphere,High,AS,91,229,222,217,213,210,206,190,190,182,168,161,155,148,145,134,127,122,119,117,117,115,116,116,115,114,114,113,112,112,112,112,112
ECU,Ecuador,America,Southern Hemisphere,High,LAC,95,191,194,187,181,167,153,146,132,137,131,122,117,110,100,94,94,90,85,82,80,78,76,71,67,65,63,61,59,59,59,59,59
EGY,Egypt,Africa,Northern Hemisphere,High,AS,97,125,117,108,101,97,88,88,87,78,73,64,63,60,57,54,52,50,47,45,45,45,42,42,40,39,39,38,37,37,37,37,37
ERI,Eritrea,Africa,Northern Hemisphere,Low,SSA,176,1810,1780,1730,1670,1580,1470,1370,1300,1310,1290,1280,1180,1130,1060,938,804,705,635,605,583,567,558,549,540,530,518,498,480,480,480,480,480
ESP,Spain,Europe,Northern Hemisphere,Very High,,27,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
EST,Estonia,Europe,Northern Hemisphere,Very High,,31,42,41,40,46,61,46,37,32,33,29,29,27,25,20,18,18,16,17,14,14,11,13,12,10,11,10,11,9,9,9,9,9
ETH,Ethiopia,Africa,Northern Hemisphere,Low,SSA,175,1280,1180,1140,1110,1080,1050,1030,1000,994,1030,1030,988,985,972,929,865,795,731,681,638,597,558,527,498,472,446,422,401,401,401,401,401
FIN,Finland,Europe,Northern Hemisphere,Very High,,11,6,6,6,6,6,6,6,6,5,5,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
FJI,Fiji,Oceania,Southern Hemisphere,High,EAP,99,74,71,68,66,63,61,59,57,54,52,51,49,48,48,47,46,44,43,42,40,39,38,38,37,36,35,34,34,34,34,34,34
FRA,France,Europe,Northern Hemisphere,Very High,,28,13,13,13,12,12,12,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8
FSM,Micronesia,Oceania,Northern Hemisphere,Medium,EAP,134,188,184,181,177,174,172,170,166,163,159,154,150,163,141,137,133,128,123,118,114,110,106,103,99,96,95,90,88,88,88,88,88
GAB,Gabon,Africa,Southern Hemisphere,High,SSA,112,428,424,421,419,415,411,406,401,398,389,380,370,361,356,354,348,340,336,332,324,314,304,292,277,267,261,256,252,252,252,252,252
GBR,United Kingdom,Europe,Northern Hemisphere,Very High,,18,9,9,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,10,10,9,8,8,8,8,7,7,7,7,7,7
GEO,Georgia,Asia,Northern Hemisphere,Very High,ECA,63,32,35,37,37,38,39,37,39,36,33,31,33,42,37,38,39,33,36,39,43,32,32,30,30,29,27,26,25,25,25,25,25
GHA,Ghana,Africa,Northern Hemisphere,Medium,SSA,133,675,626,595,585,593,576,570,564,555,526,484,445,415,398,384,371,359,349,342,339,339,339,336,331,325,320,314,308,308,308,308,308
GIN,Guinea,Africa,Northern Hemisphere,Low,SSA,182,799,776,772,791,821,853,883,908,947,971,1020,1070,1090,1080,1020,920,831,772,754,750,747,748,744,731,767,699,621,576,576,576,576,576
GMB,Gambia,Africa,Northern Hemisphere,Low,SSA,174,990,995,997,1000,1010,1000,991,982,967,955,932,905,876,843,802,756,716,690,675,668,661,656,650,644,637,625,611,597,597,597,597,597
GNB,Guinea-Bissau,Africa,Northern Hemisphere,Low,SSA,177,1410,1370,1340,1310,1290,1260,1250,1240,1350,1260,1210,1180,1150,1110,1050,979,912,860,827,800,779,762,744,726,711,694,679,667,667,667,667,667
GNQ,Equatorial Guinea,Africa,Northern Hemisphere,Medium,SSA,145,1100,1040,979,920,849,742,662,599,547,493,454,421,392,370,357,344,331,322,314,310,308,308,305,300,295,296,301,301,301,301,301,301
GRC,Greece,Europe,Northern Hemisphere,Very High,,33,5,4,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
GRD,Grenada,America,Northern Hemisphere,High,LAC,68,58,56,54,52,51,49,47,45,42,40,38,36,34,34,38,33,31,31,30,30,29,28,28,27,26,25,25,25,25,25,25,25
GTM,Guatemala,America,Northern Hemisphere,Medium,LAC,135,236,251,260,242,237,187,168,175,172,154,161,147,145,137,137,142,137,132,125,131,129,122,118,113,107,103,98,95,95,95,95,95
GUY,Guyana,America,Northern Hemisphere,High,LAC,108,204,194,199,203,213,220,230,238,240,234,231,216,227,226,220,223,221,208,192,185,179,180,185,175,174,172,170,169,169,169,169,169
HKG,Hong Kong,Asia,Northern Hemisphere,Very High,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,America,Northern Hemisphere,Medium,LAC,137,159,149,139,132,121,112,104,98,97,89,85,83,80,78,77,77,77,77,76,75,74,72,70,69,68,67,65,65,65,65,65,65
HRV,Croatia,Europe,Northern Hemisphere,Very High,,40,11,13,12,11,12,13,12,12,12,10,11,10,10,10,10,10,9,9,9,9,9,9,8,9,8,8,7,8,8,8,8,8
HTI,Haiti,America,Northern Hemisphere,Low,LAC,163,707,669,629,594,568,509,474,449,443,438,437,437,441,446,513,459,467,473,484,484,506,496,500,496,492,488,489,480,480,480,480,480
HUN,Hungary,Europe,Northern Hemisphere,Very High,,46,23,23,23,23,21,20,18,18,17,17,16,15,16,15,15,15,14,15,14,13,13,13,12,12,12,12,12,12,12,12,12,12
IDN,Indonesia,Asia,Southern Hemisphere,High,EAP,114,364,348,334,320,307,295,287,281,277,275,272,269,265,261,264,252,249,243,239,234,228,221,214,207,199,192,184,177,177,177,177,177
IND,India,Asia,Northern Hemisphere,Medium,SA,132,599,570,544,519,492,468,446,423,405,388,370,354,336,319,303,286,270,255,240,225,210,197,185,175,166,158,150,133,133,133,133,133
IRL,Ireland,Europe,Northern Hemisphere,Very High,,8,7,7,7,7,6,7,6,7,6,6,7,7,6,6,6,7,6,6,7,7,6,7,6,6,6,6,6,5,5,5,5,5
IRN,Iran,Asia,Northern Hemisphere,High,SA,76,122,107,97,89,81,74,68,63,57,53,48,44,41,39,36,34,32,30,28,25,22,19,18,17,17,17,16,16,16,16,16,16
IRQ,Iraq,Asia,Northern Hemisphere,Medium,AS,121,162,150,141,135,125,118,107,97,89,83,79,76,74,136,122,127,158,138,90,75,70,67,66,75,92,83,78,79,79,79,79,79
ISL,Iceland,Europe,Northern Hemisphere,Very High,,3,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,5,4,4,4,4,4,4,4
ISR,Israel,Asia,Northern Hemisphere,Very High,,22,12,11,11,10,10,9,9,9,8,7,7,7,7,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3
ITA,Italy,Europe,Northern Hemisphere,Very High,,30,7,7,6,6,6,6,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
JAM,Jamaica,America,Northern Hemisphere,High,LAC,110,81,81,81,81,80,79,78,77,77,77,77,79,78,79,80,80,79,79,79,79,79,79,79,79,78,78,80,80,80,80,80,80
JOR,Jordan,Asia,Northern Hemisphere,High,AS,102,97,93,90,86,83,81,79,77,75,72,70,68,65,63,62,62,58,56,55,54,53,52,52,51,49,48,47,46,46,46,46,46
JPN,Japan,Asia,Northern Hemisphere,Very High,,19,13,12,12,11,11,11,10,10,10,9,9,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5
KAZ,Kazakhstan,Asia,Northern Hemisphere,Very High,ECA,56,72,71,74,82,83,88,86,82,74,66,61,57,52,49,46,43,40,36,30,24,22,19,17,14,13,12,10,10,10,10,10,10
KEN,Kenya,Africa,Northern Hemisphere,Medium,SSA,152,728,724,724,726,723,722,720,718,717,713,708,702,692,678,653,618,583,545,513,472,432,398,373,364,358,353,346,342,342,342,342,342
KGZ,Kyrgyzstan,Asia,Northern Hemisphere,Medium,ECA,118,74,78,77,83,93,101,95,87,85,79,79,76,83,82,79,82,85,84,81,80,79,79,74,70,69,66,63,60,60,60,60,60
