bhk,type,area_sq_ft,location,price_lakh,carpet_area,status,bathrooms
3,Independent,1100,Rajajipuram,33,720,StatusReady,2
3,Independent,1200,Sarojini Nagar,27,,StatusUnder,2
2,Independent,1250,Jankipuram,50,1000,StatusReady,2
3,Independent,1320,Omaxe City,42,900,StatusReady,3
3,Independent,900,Vrindavan Yojna,48, ,StatusReady,2
2,Independent,1350,Matiyari,45,1120,StatusReady,2
3,Independent,1219,Bhitauli,44,,StatusReady,2
2,Independent,836,Kalyanpur West,43.47,,StatusReady,2
3,Independent,1350,Fazullaganj,42,,StatusReady,2
3,Independent,1030,IBIS,42,300,StatusReady,2
2,Independent,850,Jankipuram,27,600,StatusUnder,1
2,Villa,955,Samridhi Udyan 2,45,800,StatusReady,2
2,Independent,1000,Rajajipuram,30,800,StatusReady,2
1,Independent,720,Sarojini Nagar,28,720,StatusUnder,1
2,Independent,1050,Bakshi Ka Talab,31.5,840,StatusUnder,2
3,Independent,1450,Aurangabad,45,1000,StatusUnder,2
2,Independent,1500,Jankipuram,42,1250,StatusReady,2
3,Independent,800,Neel Matha,34,800,StatusReady,2
2,Independent,900,Neel Matha,19.99,750,StatusReady,2
2,Independent,950,Vrindavan Yojna,42.5,950,StatusReady,1
3,Independent,1050,Alambagh,45,1000,StatusReady,2
2,Villa,650,Vrindavan Yojna,28,630,StatusReady,1
2,Independent,1100,Kanausi,32,1100,StatusUnder,1
3,Independent,1100,Omaxe City,45, ,StatusReady,3
1,Independent,600,Alambagh,40,500,StatusReady,1
2,Villa,1000,Anora Kala,49.5,,StatusReady,1
2,Independent,1100,Jankipuram,44,700,StatusReady,2
2,Independent,1000,Sharda Nagar,50,750,StatusReady,2
2,Villa,1180,Bharavara,42,920,StatusReady,2
2,Independent,1100,Jankipuram,46,1000,StatusReady,2
3,Villa,1350,Faizabad Road,45,,StatusReady,2
3,Villa,1535,Bijnor Road,45,,StatusReady,5
3,Villa,1000,Sultanpur Road,27, ,StatusReady,2
2,Villa,1150,Jankipuram,38,1000,StatusReady,2
2,Villa,1100,Gomti Nagar,48,1000,StatusReady,3
2,Villa,1200,Mohanlalganj,30,1000,StatusReady,2
3,Villa,1560,Gosainganj,44,,StatusReady,2
2,Villa,1265,Alambagh,48.07,,StatusReady,3
2,Independent,1000,Mati,33,1000,StatusUnder,2
2,Independent,1250,Jankipuram,50,950,StatusReady,2
2,Independent,1000,Jankipuram,40,,StatusReady,2
2,Independent,903,Jankipuram,35,,StatusReady,2
2,Independent,1002,Jankipuram,40,,StatusReady,2
2,Independent,1261,Jankipuram,48,,StatusReady,2
2,Independent,901,Jankipuram,35,,StatusReady,2
2,Independent,1150,Jankipuram,45,900,StatusReady,2
2,Independent,1250,Jankipuram,50,1100,StatusReady,2
2,Independent,900,Jankipuram,35.2,,StatusReady,2
2,Independent,1260,Jankipuram,48,1160,StatusReady,2
2,Independent,1200,Jankipuram,46,,StatusReady,2
2,Independent,1001,Jankipuram,40,,StatusReady,2
2,Independent,1001,Jankipuram,39,,StatusReady,2
2,Independent,1201,Jankipuram,46,,StatusReady,2
2,Independent,1005,Jankipuram,39,,StatusReady,2
2,Independent,1264,Jankipuram,45,,StatusReady,2
3,Villa,1200,Jankipuram,34,800,StatusReady,3
1,Independent,750,Jankipuram,26,650,StatusReady,2
2,Independent,1100,Jankipuram,40,1000,StatusReady,2
2,Independent,1000,Neel Matha,40,900,StatusReady,2
2,Independent,1200,Cantonment,32,700,StatusReady,2
2,Independent,1300,Neel Matha,40,600,StatusReady,2
2,Independent,1000,Neel Matha,36,900,StatusReady,2
2,Independent,1000,Cantonment,35,900,StatusReady,2
2,Independent,1100,Cantonment,38,1000,StatusReady,2
1,Independent,1100,Neel Matha,40,1000,StatusReady,2
2,Independent,1000,Cantonment,38,900,StatusReady,2
2,Independent,1000,Neel Matha,37,900,StatusReady,2
2,Independent,1150,Jankipuram,45,1010,StatusReady,2
2,Independent,1125,Jankipuram,49.5,1025,StatusReady,2
2,Independent,1200,Jankipuram,42.5,1100,StatusReady,2
2,Independent,1000,Jankipuram,43.5,875,StatusReady,2
2,Independent,1200,Jankipuram,46,1100,StatusReady,2
3,Independent,1250,Omaxe City,46,1100,StatusUnder,3
2,Independent,850,Malhaur,38,850,StatusReady,2
2,Independent,1035,Jankipuram,48,,StatusReady,2
3,Independent,1200,Bhitauli,35,,StatusReady,2
2,Independent,620,Fazullaganj,25,620,StatusReady,2
3,Independent,1450,Samridhi Udyan 2,45,1000,StatusReady,3
3,Independent,1450,Omaxe City,47,1000,StatusUnder,3
2,Independent,1300,Uattardhona,49,,StatusReady,2
2,Independent,1000,Jankipuram,50,,StatusReady,2
2,Independent,1050,Jankipuram,45,749,StatusReady,2
3,Independent,1300,Jankipuram,49,1000,StatusReady,3
2,Independent,1020,Jankipuram,45,,StatusReady,2
2,Independent,700,Jankipuram,33,600,StatusReady,1
2,Independent,1010,Jankipuram,45,,StatusReady,2
2,Independent,800,Jankipuram,33,700,StatusReady,2
2,Independent,1250,Safedabad,50,1250,StatusReady,2
2,Independent,875,Jankipuram,38.5,875,StatusReady,2
2,Independent,850,Jankipuram,38,850,StatusReady,2
2,Independent,800,Jankipuram,40,700,StatusReady,2
3,Independent,1550,Jankipuram,50,,StatusReady,2
2,Independent,1100,Jankipuram,40,,StatusReady,2
2,Independent,1200,Bharavara,40,,StatusReady,2
2,Villa,1200,Malhaur,45,835,StatusUnder,2
2,Villa,1250,Jankipuram,48,1080,StatusReady,2
2,Independent,850,Bharavara,32,,StatusUnder,2
2,Independent,1300,Indraprastha,44,,StatusReady,2
2,Independent,1200,Anora Kala,49.5,,StatusReady,2
2,Independent,1250,Anora Kala,49.5,,StatusReady,2
2,Villa,1050,Alambagh,48,,StatusReady,2
2,Independent,1050,Alambagh,48,1000,StatusReady,2
2,Independent,622,Halwasiya,29,622,StatusUnder,1
2,Independent,1285,Indira Nagar,45,800,StatusUnder,2
2,Independent,1285,Indira Nagar,45,820,StatusReady,2
2,Villa,900,Mubarakpur,30,850,StatusReady,2
3,Independent,1550,Bijnor Road,50,1100,StatusReady,3
2,Independent,700,Jankipuram,33,680,StatusReady,2
2,Independent,800,Kursi Road,33.5, ,StatusReady,2
2,Villa,1250,Uattardhona,42, ,StatusReady,2
2,Villa,1200,Hitashieempire,49, ,StatusReady,2
2,Villa,1250,Safedabad,42, ,StatusReady,2
2,Independent,800,Takrohi,40,799,StatusReady,2
2,Independent,1000,Malhaur,40,999,StatusReady,2
2,Independent,1000,Gomti Nagar,40,999,StatusReady,2
2,Independent,800,Ismailganj,40,799,StatusReady,2
2,Independent,800,Chinhut,40,799,StatusReady,2
2,Independent,800,Surendra Nagar,40,799,StatusReady,2
2,Independent,800,Harihar Nagar,41,799,StatusReady,2
2,Independent,800,Munshi Pulia,43,799,StatusReady,2
2,Independent,800,Indira Nagar,42,799,StatusReady,2
2,Villa,1250,Safedabad,42,,StatusReady,2
2,Villa,1000,Safedabad,42,,StatusReady,2
2,Villa,1250,Amity University Road,49.99,,StatusReady,2
2,Villa,750,Amity University Road,35,,StatusReady,2
2,Villa,1250,Safedabad,49.99,1000,StatusReady,2
2,Independent,1250,Faizabad Road,50,1000,StatusReady,2
2,Villa,1250,Faizabad Road,50,1000,StatusReady,2
2,Villa,800,Amity University Road,40,,StatusReady,2
2,Villa,1000,Kursi Road,31,740,StatusReady,2
2,Independent,1000,Sitapur Road,26,740,StatusReady,2
2,Villa,1000,Sitapur Road,25,740,StatusReady,2
2,Villa,1250,Safedabad,46,,StatusReady,2
2,Villa,900,Sitapur Road,22.5,700,StatusReady,2
2,Independent,800,Gomti Nagar,35,799,StatusReady,2
2,Villa,1000,Kursi Road,40,740,StatusReady,2
2,Independent,800,Devaroad,35,799,StatusReady,2
2,Independent,800,Chinhat,35,799,StatusReady,3
2,Independent,800,Matiyari,35,799,StatusReady,3
3,Villa,1250,Amity University Road,50,,StatusReady,2
3,Villa,1200,Chinhut,45,,StatusReady,2
2,Independent,1200,Raebareli Road,27,1000,StatusReady,2
2,Independent,1000,Kursi Road,30,740,StatusReady,2
2,Independent,1200,Bakshi Ka Talab,30,,StatusReady,2
2,Independent,901,Sitapur Road,22.5,700,StatusReady,2
2,Villa,1001,Kursi Road,30,740,StatusReady,2
2,Independent,900,Sitapur Road,22.5,700,StatusReady,2
2,Independent,1250,Bijnor,43,1000,StatusReady,1
3,Villa,1150,Gomti Nagar,50,1000,StatusReady,2
2,Villa,1250,Uattardhona,42,,StatusReady,2
2,Villa,1000,Anora Kala,49.5,,StatusReady,2
2,Villa,750,Amity University Road,36,,StatusReady,2
1,Independent,700,Sugamau Road,27,620,StatusReady,1
2,Villa,1000,Kursi Road,30,740,StatusReady,2
2,Independent,1000,Sitapur Road,22.5,740,StatusReady,2
2,Independent,1200,Sitapur Road,32,934,StatusReady,2
2,Independent,1000,Sitapur Road,25,740,StatusReady,2
2,Villa,1200,Sitapur Road,32,934,StatusReady,2
2,Independent,800,Munshi Pulia,42,799,StatusReady,2
2,Independent,800,Indira Nagar,40,790,StatusReady,2
2,Independent,800,Surendra Nagar,45,799,StatusReady,2
2,Independent,800,Chinhut,40,799,StatusReady,1
2,Independent,800,Takrohi,40,790,StatusReady,2
2,Independent,800,Harihar Nagar,40,799,StatusReady,2
2,Independent,800,Munshi Pulia,40,799,StatusReady,2
2,Independent,800,Indira Nagar,44,799,StatusReady,2
2,Independent,1001,Kursi Road,30,740,StatusReady,2
2,Villa,1200,Chinhat,50,,StatusReady,2
2,Independent,1001,Sitapur Road,25,740,StatusReady,1
2,Villa,1400,Chinhat,50,,StatusReady,2
2,Villa,1000,Chinhat,49,,StatusReady,2
2,Villa,1250,Uattardhona,45.5,,StatusReady,2
2,Villa,1001,Kursi Road,40,740,StatusReady,2
2,Villa,901,Sitapur Road,22.5,700,StatusReady,2
3,Independent,1260,Vikas Nagar,45,1000,StatusReady,3
2,Villa,1000,Amity University Road University Road,50,,StatusReady,2
2,Villa,1000,Amity University Road,49,,StatusReady,2
2,Villa,1250,Amity University Road,50,,StatusReady,2
2,Villa,1250,Uattardhona,46,,StatusReady,2
2,Villa,1000,Lucknow Road,30,740,StatusReady,2
2,Villa,800,Amity University Road,45,,StatusReady,2
2,Villa,1000,Uattardhona,42,,StatusReady,2
2,Independent,800,Indira Nagar,40,799,StatusReady,2
2,Villa,1250,Tiwariganj,46,,StatusReady,2
2,Villa,1250,Safedabad,45,1000,StatusReady,2
2,Villa,1000,Safedabad,45,,StatusReady,2
2,Independent,866,Raibareilly Road,20,800,StatusReady,2
2,Independent,1006,Kursi Road,40,740,StatusUnder,2
3,Independent,1300,Sultanpur Road,47,1200,StatusReady,2
3,Villa,1300,Sultanpur Road,47,1200,StatusUnder,2
2,Independent,900,Raibareilly Road,22,800,StatusUnder,2
2,Villa,1350,Malhaur,46,1100,StatusUnder,2
2,Villa,1250,Gomti Nagar,46,1100,StatusReady,2
2,Independent,1000,Raibareilly Road,28,950,StatusReady,2
2,Villa,1200,Raibareilly Road,28.99,1000,StatusUnder,2
2,Independent,1000,Kursi Road,30,704,StatusReady,2
2,Independent,900,Bakshi Ka Talab Talab,22.5,,StatusUnder,2
2,Independent,1000,Kursi Road,30,,StatusReady,2
2,Independent,1000,Kursi Road,30,900,StatusReady,2
2,Independent,1000,Bakshi Ka Talab Talab,32,900,StatusReady,2
2,Independent,966,Kursi Road,35,734,StatusReady,2
2,Independent,1000,Sitapur Road,32,900,StatusUnder,2
2,Independent,1100,Sitapur Road,42,,StatusReady,2
2,Independent,966,Kursi Road,35,,StatusUnder,2
2,Independent,1000,Kursi Road,30,,StatusUnder,2
2,Independent,1000,Bakshi Ka Talab Talab,32,,StatusReady,2
2,Independent,1250,Kursi Road,38,977,StatusReady,2
2,Independent,1200,Bakshi Ka Talab Talab,30,,StatusUnder,2
2,Independent,1003,Sitapur Road,25,740,StatusReady,2
2,Villa,1003,Kursi Road,30,740,StatusReady,2
2,Independent,1000,Bakshi Ka Talab Talab,25,740,StatusReady,2
2,Independent,1000,Gomti Nagar,46,999,StatusReady,2
4,Independent,1478,Royal City,40,1000,StatusReady,2
2,Villa,1000,Faizabad Road,46,,StatusUnder,2
2,Villa,1250,Faizabad Road,46,1000,StatusReady,2
1,Independent,440,Vrindavan Yojna,32,430,StatusReady,1
3,Independent,1500,Aurangabad Khalsa,45,,StatusReady,2
2,Villa,1250,Chinhat,50,1000,StatusReady,2
2,Villa,1250,Anora Kala,49.5,,StatusReady,2
2,Villa,1250,Chinhat,49.9,1000,StatusReady,2
2,Villa,1000,Safedabad,50,,StatusReady,2
3,Independent,1400,Sitapur Road,45,1000,StatusReady,2
2,Villa,750,Amity University Road,38,,StatusUnder,2
2,Villa,1250,Faizabad Road,46,,StatusReady,2
2,Villa,1000,Malhaur,50,,StatusReady,2
2,Villa,1250,Faizabad Road,49,1000,StatusReady,2
3,Villa,1200,Gomti Nagar,42,,StatusReady,2
2,Independent,900,Bakshi Ka Talab Talab,22.5,700,StatusReady,2
2,Villa,1250,Faizabad Road,48,1000,StatusReady,2
2,Villa,1000,Uattardhona,45,,StatusReady,2
2,Villa,1250,Uattardhona,47,,StatusReady,2
2,Villa,1250,Janki,45,1000,StatusReady,2
2,Villa,1200,Faizabad Road,47.99,1000,StatusReady,2
2,Villa,1250,Gomti Nagar,46,1000,StatusReady,2
2,Villa,1250,Chinhat,46,,StatusUnder,2
2,Villa,1250,Chinhat,50,1000,StatusUnder,2
2,Villa,1250,Rama Degree College Road,50,1000,StatusReady,2
2,Villa,1250,Malhaur,50,1000,StatusReady,2
2,Villa,1350,Chinhat,46,1100,StatusReady,2
2,Villa,1250,Rama Degree College Road,45,,StatusReady,2
2,Villa,1000,Faizabad Road,50,,StatusReady,2
2,Villa,1000,Gomti Nagar,50,,StatusReady,2
2,Villa,1200,Raibareilly Road,29,1000,StatusReady,2
2,Villa,1200,Faizabad Road,46,1100,StatusReady,2
4,Independent,1000,Bijnor Road,44,220,StatusReady,2
2,Villa,1250,Bbd College,49,1000,StatusReady,2
2,Villa,1200,Faizabad Road,47,,StatusReady,2
2,Villa,1250,Malhaur,46,1000,StatusReady,2
2,Villa,1350,Chinhat,45,1100,StatusReady,2
2,Villa,1250,Chinhat,46,1100,StatusReady,2
2,Villa,1100,Faizabad Road,46,,StatusReady,2
2,Villa,1100,Chinhat,46,,StatusReady,2
2,Independent,1000,Chinhat,45,,StatusReady,2
2,Villa,1250,Rama Degree College Road,50,,StatusReady,2
2,Villa,1250,Uattardhona,48,,StatusReady,2
2,Villa,1250,Uattardhona,49,,StatusReady,2
2,Villa,1250,Faizabad Road,47,1000,StatusReady,2
2,Villa,1000,Faizabad Road,42,,StatusReady,2
2,Villa,1200,Faizabad Road,42,,StatusReady,2
2,Villa,1250,Faizabad Road,42,,StatusReady,2
2,Villa,1250,Chinhat,46,,StatusReady,2
3,Villa,1500,Amity University Road,50,,StatusReady,2
2,Villa,1200,Chinhat,49.9,,StatusReady,2
2,Villa,1250,Faizabad Road,45,,StatusReady,2
2,Villa,1200,Faizabad Road,44,,StatusReady,2
2,Villa,800,Amity University Road,39,,StatusReady,2
2,Villa,1250,Amity University Road,49,,StatusReady,2
2,Villa,1000,Gomti Nagar,46,999,StatusReady,2
2,Villa,750,Amity University Road,37.5,,StatusReady,2
2,Independent,1250,Vijay Nagar,50,1000,StatusReady,2
2,Independent,1250,Faizabad Road,47,1008,StatusReady,2
2,Villa,1250,Faizabad Road,47,1008,StatusReady,2
2,Villa,1200,Faizabad Road,49,1000,StatusReady,2
2,Villa,1250,Faizabad Road,46.99,1000,StatusReady,2
2,Independent,700,Jankipuram,15,600,StatusReady,1
2,Villa,995,Sadrauna,38,800,StatusReady,2
2,Villa,1165,Krishna Nagar,45,936,StatusReady,2
2,Villa,1000,Faizabad Road,48.99,,StatusUnder,2
2,Villa,1250,Bijnor Road,45,,StatusReady,2
2,Villa,1200,Faizabad Road,42,,StatusReady,2
3,Villa,1500,Amity University Road,50,,StatusReady,2
2,Villa,1200,Anora Kala,49.5,,StatusReady,2
2,Villa,1250,Tiwariganj,50,1000,StatusUnder,2
2,Independent,1200,Kursi Road,36,934,StatusReady,2
2,Independent,1250,Faizabad Road,50,1000,StatusUnder,2
2,Villa,1250,Malhaur,50,,StatusReady,2
2,Independent,1000,Kursi Road,30,740,StatusReady,1
2,Villa,1000,Chinhat,50,,StatusReady,2
2,Villa,900,Sitapur Road,25,700,StatusReady,2
2,Independent,1002,Kursi Road,30,740,StatusReady,2
2,Independent,1200,Sitapur Road,32,740,StatusReady,2
2,Independent,1004,Kursi Road,30,740,StatusReady,2
2,Villa,1000,Bakshi Ka Talab,25,740,StatusReady,2
2,Independent,1001,Sitapur Road,25,740,StatusReady,2
2,Independent,900,Kursi Road,30,740,StatusReady,2
2,Villa,1250,Faizabad Road,46.99,1000,StatusReady,1
2,Villa,1100,Faizabad Road,45,,StatusReady,2
2,Villa,1250,Faizabad Road,49.9,,StatusReady,2
2,Independent,1000,Gomti Nagar,50,,StatusReady,2
2,Villa,1250,Faizabad Road,42,,StatusUnder,2
2,Villa,1250,Uattardhona,50,,StatusReady,2
2,Villa,1200,Faizabad Road,45.99,1100,StatusReady,2
2,Villa,1250,Faizabad Road,46.5,1000,StatusReady,2
2,Villa,1200,Faizabad Road,45.5,,StatusReady,2
2,Villa,1200,Gomti Nagar,50,,StatusReady,2
2,Villa,1250,Chinhat,45,1000,StatusReady,2
2,Villa,1250,Chinhat,45,,StatusReady,2
2,Villa,1200,Faizabad Road,46,,StatusReady,2
2,Villa,1000,Amity University Road,50,,StatusReady,2
2,Villa,1000,Amity University Road,40,,StatusReady,2
2,Villa,800,Amity University Road,35,,StatusReady,2
2,Independent,800,Gosainganj,20,,StatusUnder,2
1,Studio,450,Gosainganj,12,,StatusUnder,2
2,Independent,900,Dubagga,26,800,StatusUnder,2
2,Independent,1200,Dubagga,33,,StatusUnder,2
2,Villa,1250,Faizabad Road,49,1000,StatusUnder,2
2,Villa,1000,Faizabad Road,46,,StatusReady,2
3,Villa,1500,Sultanpur Road,48.5,,StatusReady,2
2,Independent,1125,Sikander Pur,50,,StatusUnder,2
3,Independent,950,Mawaiya,48,,StatusReady,2
3,Independent,1500,Aashiyana,45,1500,StatusReady,3
2,Independent,900,Alambagh,31,600,StatusReady,2
3,Independent,1550,Bijnor Road,43,1100,StatusUnder,2
3,Independent,1350,Para Road,45,900,StatusUnder,3
4,Independent,1100,Balaganj,35,,StatusReady,2
4,Independent,1200,Para Road,45,,StatusReady,2
2,Independent,1150,Iim Road,35,900,StatusReady,2
2,Independent,530,Indira Nagar,35,504,StatusUnder,3
2,Independent,1250,Faizabad Road,46,1000,StatusReady,2
4,Villa,1000,Safedabad,34.99,700,StatusReady,2
2,Villa,1000,Kursi Road,25,,StatusReady,2
2,Independent,804,Sitapur Road,19,750,StatusReady,1
2,Independent,450,Sitapur Road,14,420,StatusReady,2
1,Independent,1000,Sarojini Nagar,24,748,StatusReady,1
2,Villa,1200,Iim Road,40,750,StatusReady,2
3,Independent,1255,Mohanlalganj,50,1200,StatusReady,3
3,Villa,1250,South City,35,924,StatusReady,3
1,Independent,1000,Dubagga,50,900,StatusReady,2
3,Independent,700,Kursi Road,36,,StatusReady,2
3,Independent,960,Iim Road,40,930,StatusReady,3
2,Villa,645,Gosainganj,24,422,StatusReady,3
3,Independent,850,Omaxe City,30,700,StatusUnder,2
2,Independent,804,Kanpur Road,19.8,775,StatusReady,2
2,Independent,925,Customize,41.62,,StatusReady,2
2,Villa,1410,Villa,50,,StatusReady,2
2,Villa,1000,Hitashie Empire,49.5,,StatusUnder,2
2,Villa,800,Villa,38,,StatusUnder,2
2,Villa,1250,2Bhk,50,,StatusReady,2
2,Independent,1250,Krishna,49,,StatusReady,2
2,Villa,800,Amity University Road,38,,StatusReady,2
2,Independent,1000,Kanpur Lucknow,29.9,950,StatusReady,2
3,Independent,1500,Purvanchal,38,1124,StatusReady,3
2,Independent,1150,Jankipuram Garden,45,1000,StatusReady,2
2,Villa,950,Indira Nagar,19,600,StatusReady,2
2,Independent,1200,Kursi Road,36,,StatusReady,2
2,Independent,1000,Smart,38,960,StatusReady,2
2,Independent,1032,Rukmani,40,1000,StatusReady,2
2,Independent,972,Hira,42,,StatusReady,2
2,Independent,850,Gomti Nagar,44,800,StatusReady,2
2,Independent,800,Ibis Zam,38,700,StatusReady,2
2,Independent,930,Iim Road,33.44,850,StatusReady,2
2,Villa,950,Ibis,44,900,StatusReady,2
2,Independent,402,Greenica,9,395,StatusReady,2
2,Villa,1100,Smart,32,1000,StatusReady,2
1,Independent,402,Dsdtiny,8.9,375,StatusReady,1
3,Villa,1300,Dream,45,900,StatusReady,2
3,Independent,1250,Amity University Road,40,860,StatusReady,2
2,Independent,1200,Kursi Road,36,740,StatusReady,2
2,Independent,1150,Faizabad Deva,32,950,StatusReady,2
2,Independent,1100,Faizabad Road,32,,StatusReady,2
2,Independent,804,Desire,19.5,800,StatusReady,2
1,Independent,402,Desire,9.9,400,StatusReady,1
3,Villa,1000,Gomtipuram Villasgomti,6.99,60,StatusReady,1
2,Independent,1100,Shipra,29,500,StatusReady,2
2,Independent,860,Gomti Nagar,40,800,StatusReady,3
3,Independent,1250,Kanpur Lucknow,40,860,StatusReady,2
3,Independent,700,Kursi Road,22,650,StatusReady,2
1,Independent,402,Sitapur Road,8.9,395,StatusReady,1
2,Independent,402,Kanpur Lucknow,8.9,395,StatusReady,1
2,Independent,1000,Kursi Road,28,740,StatusReady,2
2,Independent,900,Kanpur Lucknow,22,800,StatusReady,2
2,Independent,850,Independent,38,800,StatusReady,2
2,Independent,750,Dh2,25.5,700,StatusReady,2
3,Independent,1300,Gomti Nagar,45.5,800,StatusUnder,3
2,Independent,1050,Iim Road,37.8,966,StatusReady,2
2,Independent,650,Fazullaganj,25,600,StatusReady,2
2,Villa,1200,Faizabad Road,46,1000,StatusReady,2
2,Independent,1000,Kapish,45,900,StatusReady,2
2,Independent,450,Nature,13.5,375,StatusReady,1
2,Independent,1000,Greencity,35,950,StatusReady,2
2,Villa,1133,Ishaneeka,36.5,1100,StatusReady,2
2,Villa,1000,Kapish,45,900,StatusReady,2
2,Villa,1100,Green,29.9,1000,StatusReady,2
2,Independent,804,Kanpur Road,18,775,StatusReady,2
2,Villa,1200,Sahu Raibareilly Road,30,1000,StatusReady,2
3,Villa,1295,Lucknow Kanpur,32,800,StatusReady,2
1,Villa,402,Greenica,9,400,StatusReady,1
3,Villa,1200,Indira,46,800,StatusReady,3
1,Independent,402,Banthra Bijnore,9.25,400,StatusReady,1
3,Independent,1200,Dream,40,800,StatusReady,3
2,Villa,1133,Iim Road,36.5,950,StatusReady,2
2,Villa,1200,Faizabad Road,45,1000,StatusReady,2
3,Independent,1560,Green,33,1100,StatusReady,3
1,Independent,402,Dreams,9.25,375,StatusReady,1
2,Independent,402,Kanpur Road,9.9,375,StatusReady,1
3,Independent,1000,Kanpur Road,33,975,StatusReady,3
2,Independent,1200,Jankipuram,48.5,1175,StatusReady,2
3,Independent,800,Iim Road,40,775,StatusReady,3
2,Independent,1250,Indira Nagar,34,1200,StatusReady,2
3,Independent,800,Iim Road,40,775,StatusReady,2
1,Independent,402,Sitapur Road,10.9,375,StatusReady,1
2,Independent,804,Kanpur Road,21.8,775,StatusReady,2
3,Independent,1496,Chinhat,45,880,StatusReady,3
2,Independent,1000,Deva Road,38,975,StatusUnder,2
2,Independent,966,Iim Road,40.5,900,StatusReady,2
2,Independent,1000,Kanpur Road,35,980,StatusReady,2
2,Independent,1000,Deva Road,38,980,StatusReady,2
2,Independent,1100,Gomti Nagar,49.75,1080,StatusReady,2
2,Independent,600,Gomti Nagar,28,580,StatusReady,2
3,Independent,900,Gomti Nagar,42,880,StatusReady,3
2,Independent,1250,Khurram Nagar,36,1230,StatusReady,2
2,Independent,850,Gomti Nagar,34,720,StatusReady,2
2,Villa,1250,Uattardhona,44,,StatusReady,2
2,Villa,1000,Faizabad Road,45,,StatusReady,2
3,Villa,1500,Gomti Nagar,50,1250,StatusReady,3
2,Villa,750,Malhaur,37.5,,StatusUnder,2
2,Villa,1250,Malhaur,49.99,1000,StatusReady,2
3,Villa,1500,Malhaur,50,,StatusReady,2
3,Independent,1500,Malhaur,50,,StatusReady,2
2,Independent,1250,Malhaur,49,,StatusReady,2
2,Villa,750,Amity University Road,38,,StatusReady,2
3,Villa,1000,Amity University Road,45,,StatusReady,2
2,Villa,1000,Uattardhona,49.9,,StatusReady,2
3,Independent,1000,Jankipuram,25,800,StatusReady,2
2,Independent,1300,Iim Road,44,900,StatusReady,2
2,Independent,1150,Deva Road,36,1000,StatusReady,2
2,Independent,1170,Deva Road,36,1000,StatusReady,2
1,Independent,402,Kanpur Road,9.9,375,StatusReady,1
2,Independent,900,Kanpur Road,25,800,StatusReady,2
1,Independent,402,Kanpur Road,8.9,375,StatusReady,1
2,Independent,1170,Faizabad Road,32,100,StatusReady,2
2,Independent,1170,Faizabad Road,32,1000,StatusReady,2
2,Independent,1400,Indira Nagar,34,1200,StatusReady,2
2,Independent,1200,Nawabganj,30,1000,StatusReady,2
2,Independent,1200,Gomti Nagar,49.75,1100,StatusReady,2
2,Independent,1150,Krishna Nagar,43.7,800,StatusReady,2
2,Independent,1150,Faizabad Road,32,1000,StatusReady,2
2,Independent,1400,Indira Nagar,34,1250,StatusReady,2
2,Independent,750,Bakshi Ka Talab,17.5,600,StatusReady,1
2,Villa,1039,Bijnor Road,47.5,521,StatusReady,2
3,Villa,1617,Faizabad Road,45,890,StatusUnder,3
2,Villa,1216,Faizabad Road,40,816,StatusUnder,3
1,Independent,350,Golf City,25,275,StatusUnder,2
2,Villa,1000,Kursi Road,40,934,StatusReady,2
2,Independent,900,Sitapur Road,22.5,700,StatusReady,1
2,Villa,750,Amity University Road,37,,StatusReady,2
2,Villa,1000,Kursi Road,30,740,StatusReady,1
2,Villa,900,Sitapur Road,22.5,700,StatusReady,1
2,Independent,1150,Chinhat,50,1143,StatusReady,2
2,Villa,1000,Jankipuram Extension,38,999,StatusReady,2
2,Villa,800,Jankipuram Extension,30.4,799,StatusReady,2
2,Villa,1250,Faizabad Road,47,1008,StatusReady,1
2,Villa,1250,Faizabad Road,47,1008,StatusUnder,2
2,Villa,1000,Uattardhona,49.5,,StatusReady,2
3,Villa,1500,Amity University Road,49.9,1000,StatusReady,3
1,Independent,520,Jankipuram,12,440,StatusReady,1
2,Villa,1250,Uattardhona,45,,StatusReady,2
2,Villa,1250,Faizabad Road,50,1015,StatusReady,2
2,Villa,1200,Faizabad Road,47,1000,StatusReady,2
2,Villa,1300,Faizabad Road,47,1100,StatusReady,2
2,Villa,1250,Faizabad Road,45,1000,StatusReady,2
2,Independent,1200,Kursi Road,36,,StatusUnder,2
2,Independent,900,Bakshi Ka Talab,22.5,,StatusReady,2
2,Independent,1260,Kursi Road,45,786,StatusReady,2